be was been быть
become became become становиться
begin began begun начинать
break broke broken ломать
bring brought brought приносить
build built built строить
buy bought bought покупать
can could - хотеть
catch caught caught ловить
come came come приходить
cost cost cost стоить
choose chose chosen выбирать
cut cut cut вырезать
do did done делать
drink drank drunk пить
drive drove driven водить
eat ate eaten есть
fall fell fallen падать
feel felt felt чувствовать
find found found находить
fly flew flown летать
forget forgot forgotten забывать
get got got получать
give gave given давать
go went gone идти
grow grew grown расти
have had had иметь
hear heard heard слушать/слышать
hit hit hit ударить
keep kept kept хранить
know knew known знать
learn learnt learnt учить
leave left left оставлять
lend lent lent одалживать
let let let позволить
lose lost lost терять
make made made сделать
meet met met встретать
pay paid paid платить
put put put ложить
read read read читать
ring rang rung звонить/звенеть
run ran run бежать
say said said сказать/говорить
see saw seen видеть
sell sold sold продавать
send sent sent послать/посылать
sing sang sung петь
shut shut shut закрыть/закрывать
sit sit sit сидеть
sleep slept slept спать
speak spoke spoken говорить
spend spent spent тратить
stand stood stood стоять
steal stole stolen красть/воровать
swim swam swum плавать
take took taken брать
teach taught taught учить
tell told told сказать/рассказать
think thought thought думать
throw threw thrown бросать
understand understood understood понимать
wake woke woken будить/пробуждаться
wear wore worn носить
win won won побеждать
write wrote written писать
