be was been быть
become became become становиться
begin began begun начинать
break broke broken ломать
bring brought brought приносить
build built built строить
buy bought bought покупать
can could - хотеть
catch caught caught ловить
come came come приходить
cost cost cost стоить
choose chose chosen выбирать
cut cut cut вырезать
do did done делать
drink drank drunk пить
drive drove driven водить
eat ate eaten есть
fall fell fallen падать
feel felt felt чувствовать
find found found находить
fly flew flown летать
forget forgot forgotten забывать
get got got получать
give gave given давать
go went gone идти
grow grew grown расти
have had had иметь
hear heard heard слушать/слышать
hit hit hit ударить
